Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.244727,1.152364,1.575159,0,8.912835,0
-0.2117786,1.154378,1.58084,0,8.912835,0
-0.2449758,1.152285,1.575124,0,8.928408,0
-0.2120273,1.154317,1.580802,0,8.928408,0
-0.2449739,1.152597,1.575089,0,8.945193,0
-0.2120261,1.154636,1.580765,0,8.945193,0
-0.2449721,1.152907,1.575055,0,8.95398,0
-0.2120249,1.154954,1.580729,0,8.95398,0
-0.2505857,1.152882,1.574073,0,8.969218,0
-0.21206,1.155279,1.580685,0,8.969218,0
-0.2504456,1.150252,1.574391,0,8.983776,0
-0.2119126,1.152611,1.581021,0,8.983776,0
-0.2503206,1.144283,1.575092,0,8.997672,0
-0.2117904,1.146615,1.581738,0,8.997672,0
-0.2496181,1.142653,1.575407,0,9.010487,0
-0.211084,1.144988,1.582053,0,9.010487,0
-0.2494295,1.142196,1.575494,0,9.024857,0
-0.210894,1.144533,1.58214,0,9.024857,0
-0.2492395,1.141736,1.575581,0,9.038278,0
-0.2107029,1.144074,1.582227,0,9.038278,0
-0.2769212,1.140506,1.570835,0,9.052288,0
-0.2494381,1.142145,1.575498,0,9.052288,0
-0.2545413,1.153082,1.573357,0,9.066564,0
-0.2216444,1.155108,1.578984,0,9.066564,0
-0.2544979,1.154528,1.573203,0,9.081806,0
-0.2216062,1.156553,1.578824,0,9.081806,0
-0.254323,1.154617,1.573224,0,9.095123,0
-0.2214317,1.156642,1.578845,0,9.095123,0
-0.2709247,1.153684,1.570415,0,9.106862,0
-0.2267949,1.156388,1.577911,0,9.106862,0
-0.2705165,1.156068,1.570221,0,9.121125,0
-0.2263908,1.158814,1.577703,0,9.121125,0
-0.2591088,1.157282,1.572087,0,9.134812,0
-0.2205956,1.159691,1.578641,0,9.134812,0
-0.2585516,1.157886,1.572117,0,9.148382,0
-0.2200388,1.160329,1.578667,0,9.148382,0
-0.2582452,1.158414,1.572112,0,9.162894,0
-0.2197333,1.160869,1.578659,0,9.162894,0
-0.2579392,1.158936,1.572107,0,9.177044,0
-0.2194282,1.161404,1.578652,0,9.177044,0
-0.2542772,1.158051,1.572848,0,9.190851,0
-0.21576,1.160539,1.579411,0,9.190851,0
-0.2533546,1.157913,1.573025,0,9.205621,0
-0.2092197,1.16079,1.580556,0,9.205621,0
-0.2493144,1.157339,1.573798,0,9.219058,0
-0.2051684,1.160245,1.581346,0,9.219058,0
-0.2473572,1.157214,1.574156,0,9.234608,0
-0.203206,1.160137,1.581711,0,9.234608,0
-0.2456259,1.15716,1.574465,0,9.248057,0
-0.20147,1.160104,1.582026,0,9.248057,0
-0.2320085,1.157816,1.57681,0,9.260246,0
-0.1991252,1.160012,1.582458,0,9.260246,0
-0.2278596,1.156399,1.577719,0,9.275337,0
-0.1949582,1.158703,1.583607,0,9.275337,0
-0.2269593,1.156268,1.577896,0,9.287608,0
-0.1940565,1.158569,1.58398,0,9.287608,0
-0.2254868,1.156364,1.578149,0,9.302052,0
-0.1925819,1.158736,1.584543,0,9.302052,0
-0.2236973,1.156218,1.578487,0,9.316141,0
-0.1907876,1.158686,1.585258,0,9.316141,0
-0.2048034,1.151373,1.58244,0,9.329505,0
-0.171809,1.154848,1.593229,0,9.329505,0
-0.2092706,1.156206,1.581078,0,9.344114,0
-0.1763271,1.1594,1.590886,0,9.344114,0
-0.2101284,1.152328,1.581374,0,9.358331,0
-0.1771718,1.155391,1.591043,0,9.358331,0
-0.2108707,1.154182,1.581025,0,9.371703,0
-0.1779243,1.15721,1.590523,0,9.371703,0
-0.2108968,1.155423,1.580877,0,9.387067,0
-0.1779546,1.158437,1.590361,0,9.387067,0
-0.2109224,1.156671,1.580728,0,9.402045,0
-0.1779843,1.159672,1.590198,0,9.402045,0
-0.2259904,1.156601,1.578031,0,9.413697,0
-0.1986523,1.158326,1.582738,0,9.413697,0
-0.2266749,1.157689,1.577782,0,9.426694,0
-0.1993387,1.159417,1.582489,0,9.426694,0
-0.2271902,1.15556,1.577936,0,9.441101,0
-0.1998445,1.157332,1.582639,0,9.441101,0
-0.2278319,1.15593,1.577778,0,9.454961,0
-0.2004855,1.157714,1.58248,0,9.454961,0
-0.2284735,1.156299,1.577621,0,9.468736,0
-0.2011267,1.158095,1.582321,0,9.468736,0
-0.2366184,1.156745,1.576107,0,9.48422,0
-0.1902093,1.160097,1.585314,0,9.48422,0
-0.2215376,1.157107,1.578772,0,9.497376,0
-0.1886219,1.159668,1.585994,0,9.497376,0
-0.2216535,1.15518,1.578974,0,9.510743,0
-0.1887354,1.157711,1.586188,0,9.510743,0
-0.2217662,1.154266,1.57906,0,9.5257,0
-0.1888463,1.156786,1.586258,0,9.5257,0
-0.2218787,1.153355,1.579145,0,9.540903,0
-0.188957,1.155864,1.586327,0,9.540903,0
-0.238241,1.152324,1.576328,0,9.554372,0
-0.1918384,1.155535,1.585228,0,9.554372,0
-0.2459512,1.151175,1.575077,0,9.566813,0
-0.2018021,1.154,1.582674,0,9.566813,0
-0.2474521,1.152867,1.574624,0,9.580599,0
-0.2033063,1.155603,1.582218,0,9.580599,0
-0.248577,1.153036,1.574408,0,9.595488,0
-0.2044341,1.155756,1.581998,0,9.595488,0
-0.2493014,1.152968,1.574289,0,9.607922,0
-0.2051601,1.15567,1.581878,0,9.607922,0
-0.2501784,1.164478,1.57285,0,9.622232,0
-0.2060833,1.167219,1.580373,0,9.622232,0
-0.2524373,1.168057,1.572054,0,9.636378,0
-0.208356,1.170975,1.57953,0,9.636378,0
-0.2466353,1.168963,1.572971,0,9.649911,0
-0.2081545,1.17155,1.579499,0,9.649911,0
-0.2472193,1.169108,1.572852,0,9.664179,0
-0.20874,1.171724,1.579374,0,9.664179,0
-0.2478691,1.169547,1.572689,0,9.678405,0
-0.2093917,1.172185,1.579204,0,9.678405,0
-0.2372297,1.170793,1.574416,0,9.694227,0
-0.2043621,1.173072,1.580004,0,9.694227,0
-0.2352985,1.167961,1.575071,0,9.707683,0
-0.2024244,1.170201,1.580684,0,9.707683,0
-0.2355148,1.167621,1.575071,0,9.71991,0
-0.2026399,1.169861,1.580685,0,9.71991,0
-0.2351521,1.166452,1.575265,0,9.733137,0
-0.2022755,1.168664,1.580889,0,9.733137,0
-0.2352268,1.166029,1.5753,0,9.74725,0
-0.2023495,1.168239,1.580925,0,9.74725,0
-0.235302,1.165604,1.575334,0,9.761905,0
-0.2024938,1.167807,1.58095,0,9.761905,0
-0.2359796,1.164467,1.575342,0,9.775675,0
-0.2031666,1.16669,1.580958,0,9.775675,0
-0.2419689,1.169367,1.573744,0,9.789295,0
-0.2035291,1.171993,1.580278,0,9.789295,0
-0.2425894,1.170835,1.573471,0,9.804222,0
-0.2041525,1.173468,1.579996,0,9.804222,0
-0.2429096,1.170742,1.573426,0,9.817476,0
-0.2044728,1.173378,1.579949,0,9.817476,0
-0.2432282,1.170649,1.57338,0,9.831262,0
-0.2047915,1.173288,1.579902,0,9.831262,0
-0.2449944,1.166801,1.5735,0,9.848192,0
-0.2008897,1.169898,1.580995,0,9.848192,0
-0.2394899,1.155881,1.575691,0,9.86071,0
-0.2009852,1.158543,1.582294,0,9.86071,0
-0.2403955,1.155777,1.575541,0,9.872974,0
-0.2018923,1.158465,1.582141,0,9.872974,0
-0.2409535,1.155679,1.575452,0,9.886594,0
-0.2024507,1.158377,1.58205,0,9.886594,0
-0.241529,1.155836,1.575332,0,9.901243,0
-0.2030273,1.15855,1.581927,0,9.901243,0
-0.2477288,1.155583,1.574273,0,9.915286,0
-0.2091842,1.158309,1.58085,0,9.915286,0
-0.2464902,1.154115,1.574654,0,9.928725,0
-0.207942,1.156788,1.581249,0,9.928725,0
-0.2460682,1.142144,1.576103,0,9.942872,0
-0.207515,1.144758,1.58272,0,9.942872,0
-0.2462001,1.141986,1.576098,0,9.956732,0
-0.2076466,1.144592,1.582716,0,9.956732,0
-0.2463637,1.141769,1.576094,0,9.970203,0
-0.2078102,1.144376,1.582712,0,9.970203,0
-0.2578577,1.146522,1.573507,0,9.985315,0
-0.2192938,1.149153,1.580097,0,9.985315,0
