FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
1144,15.20702,-0.303905,1.178275,1.563962,6,0,Sphere
1144,15.20702,-0.2920348,1.179122,1.563872,6,0,Sphere
1145,15.22092,-0.2974126,1.178924,1.563767,6,0,Sphere
1145,15.22092,-0.2798876,1.180194,1.565883,6,0,Sphere
1146,15.23528,-0.297066,1.178698,1.563785,6,0,Sphere
1146,15.23528,-0.2795506,1.179977,1.565967,6,0,Sphere
1147,15.24913,-0.2958809,1.177675,1.563876,6,0,Sphere
1147,15.24913,-0.2784042,1.178962,1.566281,6,0,Sphere
1148,15.26319,-0.2953789,1.169887,1.564727,6,0,Sphere
1148,15.26319,-0.277952,1.171174,1.56723,6,0,Sphere
1149,15.27731,-0.2948534,1.168128,1.564911,6,0,Sphere
1149,15.27731,-0.2774476,1.169404,1.567516,6,0,Sphere
1150,15.29103,-0.3013368,1.166708,1.565192,6,0,Sphere
1150,15.29103,-0.2835182,1.168016,1.566606,6,0,Sphere
1151,15.30673,-0.301605,1.166005,1.565275,6,0,Sphere
1151,15.30673,-0.2837807,1.167323,1.566637,6,0,Sphere
1152,15.32039,-0.3013114,1.165203,1.565358,6,0,Sphere
1152,15.32039,-0.2834989,1.166528,1.566775,6,0,Sphere
1153,15.33274,-0.3011424,1.164264,1.565458,6,0,Sphere
1153,15.33274,-0.2833381,1.165581,1.566909,6,0,Sphere
1154,15.3461,-0.3004586,1.162613,1.565628,6,0,Sphere
1154,15.3461,-0.2826813,1.163923,1.56721,6,0,Sphere
1155,15.36043,-0.2941617,1.174349,1.56421,6,0,Sphere
1155,15.36043,-0.2826884,1.175188,1.565951,6,0,Sphere
1156,15.37457,-0.2931405,1.172989,1.564363,6,0,Sphere
1156,15.37457,-0.2816991,1.173829,1.566276,6,0,Sphere
1157,15.38822,-0.2921204,1.172431,1.564604,6,0,Sphere
1157,15.38822,-0.2806811,1.173277,1.566516,6,0,Sphere
1158,15.40267,-0.2912087,1.172017,1.56481,6,0,Sphere
1158,15.40267,-0.2797708,1.172868,1.566722,6,0,Sphere
1159,15.41677,-0.2906167,1.170973,1.565031,6,0,Sphere
1159,15.41677,-0.2791823,1.171821,1.566942,6,0,Sphere
1160,15.43024,-0.1526244,1.243096,1.600056,6,0,Sphere
1160,15.43024,-0.1437562,1.243827,1.603623,6,0,Sphere
1161,15.44466,-0.1510059,1.240948,1.600452,7,0,Sphere
1161,15.44466,-0.1421397,1.241673,1.604017,6,0,Sphere
1162,15.46074,-0.1327441,1.284808,1.61248,7,0,Sphere
1162,15.46074,-0.1124633,1.286582,1.620698,7,0,Sphere
1163,15.47368,-0.1307795,1.28271,1.613032,8,0,Sphere
1163,15.47368,-0.1104964,1.284477,1.621236,7,0,Sphere
1164,15.48579,-0.1290632,1.280377,1.61346,8,0,Sphere
1164,15.48579,-0.1087758,1.282134,1.62165,8,0,Sphere
1165,15.49969,-0.1092269,1.305675,1.625165,8,0,Sphere
1165,15.49969,-0.08988807,1.307777,1.637708,8,0,Sphere
1166,15.5134,-0.1075152,1.302857,1.624887,8,0,Sphere
1166,15.5134,-0.08817226,1.304983,1.637805,8,0,Sphere
1167,15.52779,-0.1063732,1.300301,1.624622,8,0,Sphere
1167,15.52779,-0.08705781,1.302436,1.637599,8,0,Sphere
1168,15.54179,-0.1049832,1.298264,1.624945,8,0,Sphere
1168,15.54179,-0.08565162,1.300384,1.637792,8,0,Sphere
1169,15.55554,-0.1033273,1.296751,1.625835,8,0,Sphere
1169,15.55554,-0.08399951,1.298851,1.638677,8,0,Sphere
1170,15.56921,-0.102477,1.30294,1.627654,8,0,Sphere
1170,15.56921,-0.08927697,1.304418,1.636871,8,0,Sphere
1171,15.58348,-0.1011384,1.303129,1.628603,8,0,Sphere
1171,15.58348,-0.08795488,1.304595,1.637805,8,0,Sphere
1172,15.59772,-0.1126077,1.301651,1.622488,8,0,Sphere
1172,15.59772,-0.09906437,1.303005,1.62992,8,0,Sphere
1173,15.61299,-0.111375,1.300431,1.622652,8,0,Sphere
1173,15.61299,-0.09783997,1.301806,1.630283,8,0,Sphere
1174,15.62672,-0.1104728,1.298565,1.622807,8,0,Sphere
1174,15.62672,-0.09677492,1.299962,1.630499,8,0,Sphere
1175,15.6393,-0.1091744,1.297575,1.623215,8,0,Sphere
1175,15.6393,-0.09549987,1.299001,1.63121,8,0,Sphere
1176,15.65275,-0.1079579,1.297352,1.623672,8,0,Sphere
1176,15.65275,-0.09430876,1.298801,1.63196,8,0,Sphere
1177,15.66667,-0.1140906,1.298478,1.621363,8,0,Sphere
1177,15.66667,-0.09434697,1.3005,1.632146,8,0,Sphere
1178,15.68103,-0.113879,1.300335,1.621648,8,0,Sphere
1178,15.68103,-0.0941755,1.302404,1.63291,8,0,Sphere
1179,15.69465,-0.1138979,1.311202,1.625194,8,0,Sphere
1179,15.69465,-0.09538807,1.313211,1.636097,8,0,Sphere
1180,15.7085,-0.1134061,1.310996,1.625317,8,0,Sphere
1180,15.7085,-0.09490326,1.313009,1.636341,8,0,Sphere
1181,15.72277,-0.1131864,1.310011,1.625072,8,0,Sphere
1181,15.72277,-0.09467439,1.312016,1.636126,8,0,Sphere
1182,15.73674,-0.1185613,1.308043,1.622306,8,0,Sphere
1182,15.73674,-0.1000122,1.30992,1.631856,8,0,Sphere
1183,15.75053,-0.1179091,1.307003,1.622212,8,0,Sphere
1183,15.75053,-0.09936009,1.308885,1.631893,8,0,Sphere
1184,15.7667,-0.1052659,1.304195,1.626302,8,0,Sphere
1184,15.7667,-0.08578804,1.306412,1.639898,8,0,Sphere
1185,15.77981,-0.1045721,1.303754,1.626588,8,0,Sphere
1185,15.77981,-0.08509468,1.305973,1.640192,8,0,Sphere
1186,15.79192,-0.08355068,1.272607,1.635713,8,0,Sphere
1186,15.79192,-0.06412429,1.274571,1.648602,8,0,Sphere
1187,15.80598,-0.08289613,1.271366,1.635985,9,0,Sphere
1187,15.80598,-0.06346831,1.273315,1.648874,8,0,Sphere
1188,15.81999,-0.081577,1.269662,1.636632,9,0,Sphere
1188,15.81999,-0.06215209,1.271594,1.649517,9,0,Sphere
1189,15.83394,-0.07988855,1.268462,1.637583,9,0,Sphere
1189,15.83394,-0.06034538,1.270392,1.650544,9,0,Sphere
1190,15.84831,-0.07844323,1.26771,1.63843,9,0,Sphere
1190,15.84831,-0.05890837,1.269632,1.651385,9,0,Sphere
1191,15.86193,-0.0835865,1.27319,1.635762,9,0,Sphere
1191,15.86193,-0.0579893,1.275759,1.652743,9,0,Sphere
1192,15.87611,-0.08276105,1.27369,1.636362,9,0,Sphere
1192,15.87611,-0.05717036,1.276282,1.653341,9,0,Sphere
1193,15.88966,-0.08187127,1.273383,1.636903,9,0,Sphere
1193,15.88966,-0.06840593,1.27475,1.645837,9,0,Sphere
1194,15.90402,-0.080992,1.27207,1.637312,9,0,Sphere
1194,15.90402,-0.06753147,1.273425,1.646242,9,0,Sphere
1195,15.91972,-0.07997698,1.270372,1.637762,9,0,Sphere
1195,15.91972,-0.0665203,1.271707,1.646687,9,0,Sphere
1196,15.93447,-0.08536729,1.274676,1.634787,9,0,Sphere
1196,15.93447,-0.06596383,1.276603,1.647657,9,0,Sphere
1197,15.9456,-0.08453207,1.274312,1.635286,9,0,Sphere
1197,15.9456,-0.06513366,1.276227,1.648151,9,0,Sphere
1198,15.95905,-0.08431894,1.274659,1.635468,9,0,Sphere
1198,15.95905,-0.06492451,1.276575,1.64833,9,0,Sphere
1199,15.9726,-0.08432487,1.275324,1.635546,9,0,Sphere
1199,15.9726,-0.064935,1.277261,1.648408,9,0,Sphere
1200,15.9875,-0.08498885,1.275493,1.635135,9,0,Sphere
